theme,ticker,company_name,sector,industry,bucket_type,bucket_weight,theme_attention_score,theme_adjusted_confidence,theme_narrative_type,theme_log_change_7d_30d,theme_news_count_7d,ticker_total_news_7d,theme_news_share_7d,matched_item_count,source_breadth_7d,price_data_ok,last_price,price_return_5d,price_return_1m,price_return_3m,relative_return_1m_spy,volume_change_20d,distance_from_52w_high,price_state,theme_news_share_pct,theme_news_count_pct,matched_item_count_pct,bucket_weight_pct,source_breadth_pct,momentum_1m_pct,relative_strength_pct,volume_spike_pct,overextension_pct,near_high_risk_pct,exposure_score,purity_score,confirmation_score,risk_penalty,beneficiary_score,beneficiary_tier
Data Center Capex,DELL,Dell Technologies Inc. Class C Common Stock ,Technology,Computer Manufacturing,pure_play,1.0,75.84375,very_high,sustained_narrative,1.6543191308920964,0,0,0.0,0,0,True,215.10000610351562,4.452976134550624,24.59035142027741,84.17887287075587,14.786591496032031,-47.54717315885147,-0.45813792917419605,extended,36.36363636363637,36.36363636363637,36.36363636363637,93.18181818181817,36.36363636363637,45.45454545454545,45.45454545454545,4.545454545454546,45.45454545454545,68.18181818181817,47.727272727272734,81.81818181818181,35.45454545454545,67.5,34.90909090909091,Watch Only
Data Center Capex,ASML,ASML Holding N.V. New York Registry Shares,Technology,Industrial Machinery/Components,enabler,0.8,75.84375,very_high,sustained_narrative,1.6543191308920964,0,20,0.0,0,0,True,1446.9300537109375,4.504679643910459,11.20240341460046,4.020623957830294,1.398643490355079,-36.614499571601144,-5.00616449092941,neutral,36.36363636363637,36.36363636363637,36.36363636363637,68.18181818181817,36.36363636363637,22.727272727272727,22.727272727272727,9.090909090909092,22.727272727272727,45.45454545454545,42.72727272727273,61.81818181818181,22.727272727272727,21.59090909090909,33.90909090909091,Watch Only
Data Center Capex,ARM,Arm Holdings plc American Depositary Shares,Technology,Semiconductors,enabler,0.8,75.84375,very_high,sustained_narrative,1.6543191308920964,0,0,0.0,0,0,True,207.3000030517578,4.354396889526679,39.34260744666218,98.27833285584246,29.5388475224168,-32.83561671011231,-11.715853154834765,overheated,36.36363636363637,36.36363636363637,36.36363636363637,68.18181818181817,36.36363636363637,86.36363636363636,86.36363636363636,18.181818181818183,86.36363636363636,31.818181818181817,42.72727272727273,61.81818181818181,62.72727272727273,76.81818181818181,32.86363636363636,Watch Only: Price Extended
Data Center Capex,MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software,adopter,0.55,75.84375,very_high,sustained_narrative,1.6543191308920964,0,162,0.0,0,0,True,409.5400085449219,-4.591727770548193,9.831582059121335,-0.1787955885236392,0.02782213487595442,9.93385004240186,-24.134699139442205,neutral,36.36363636363637,36.36363636363637,36.36363636363637,38.63636363636363,36.36363636363637,13.636363636363635,13.636363636363635,72.72727272727273,13.636363636363635,18.181818181818183,36.81818181818182,38.18181818181818,30.0,10.681818181818182,29.636363636363637,Watch Only
Data Center Capex,AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors,enabler,0.8,75.84375,very_high,sustained_narrative,1.6543191308920964,0,45,0.0,0,0,True,428.2049865722656,7.0967663639384115,36.18452327917756,33.95662841540488,26.38076335493218,-35.71297167276304,0.0,overheated,36.36363636363637,36.36363636363637,36.36363636363637,68.18181818181817,36.36363636363637,77.27272727272727,77.27272727272727,13.636363636363635,77.27272727272727,86.36363636363636,42.72727272727273,61.81818181818181,56.36363636363636,86.36363636363636,29.363636363636367,Watch Only: Price Extended
Data Center Capex,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors,enabler,0.8,75.84375,very_high,sustained_narrative,1.6543191308920964,0,7,0.0,0,0,True,397.2049865722656,1.2399934444066174,16.22336587731963,18.637150756972364,6.4196059530742495,-27.034733138573873,-1.9198538701024837,extended,36.36363636363637,36.36363636363637,36.36363636363637,68.18181818181817,36.36363636363637,31.818181818181817,31.818181818181817,27.27272727272727,31.818181818181817,59.09090909090909,42.72727272727273,61.81818181818181,31.818181818181817,59.09090909090909,28.68181818181818,Watch Only
Data Center Capex,GOOGL,Alphabet Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,adopter,0.55,75.84375,very_high,sustained_narrative,1.6543191308920964,0,28,0.0,0,0,True,387.55999755859375,10.801074650107466,29.190976424180825,14.16586043636583,19.387216499935445,39.1221935622398,0.0,extended,36.36363636363637,36.36363636363637,36.36363636363637,38.63636363636363,36.36363636363637,63.63636363636363,63.63636363636363,90.9090909090909,63.63636363636363,86.36363636363636,36.81818181818182,38.18181818181818,63.63636363636363,80.22727272727272,24.136363636363637,Watch Only
Data Center Capex,ETN,Eaton Corporation PLC Ordinary Shares,Technology,Industrial Machinery/Components,sympathetic,0.35,75.84375,very_high,sustained_narrative,1.6543191308920964,0,0,0.0,0,0,True,409.65008544921875,-0.8279279091584324,12.575247728353055,13.349916605136647,2.771487804107675,33.750506796700485,-5.3947769773383,neutral,36.36363636363637,36.36363636363637,36.36363636363637,13.636363636363635,36.36363636363637,27.27272727272727,27.27272727272727,86.36363636363636,27.27272727272727,40.909090909090914,31.81818181818182,18.18181818181818,40.90909090909091,22.5,23.0,Watch Only
Data Center Capex,VST,Vistra Corp. Common Stock,Utilities,Electric Utilities: Central,sympathetic,0.35,75.84375,very_high,sustained_narrative,1.6543191308920964,0,0,0.0,0,0,True,162.11500549316406,0.6175585936760042,6.943076330586773,6.102054367624654,-2.8606835936586075,-0.7397539144017751,-25.402673951636434,neutral,36.36363636363637,36.36363636363637,36.36363636363637,13.636363636363635,36.36363636363637,9.090909090909092,9.090909090909092,68.18181818181817,9.090909090909092,13.636363636363635,31.81818181818182,18.18181818181818,26.363636363636363,7.5,22.363636363636363,Watch Only
Data Center Capex,CEG,Constellation Energy Corporation Common Stock ,Utilities,Electric Utilities: Central,sympathetic,0.35,75.84375,very_high,sustained_narrative,1.6543191308920964,0,0,0.0,0,0,True,323.70001220703125,5.884668887113098,17.64064831330936,20.74269664481756,7.836888389063979,-22.357794574789324,-19.666861787721366,confirming,36.36363636363637,36.36363636363637,36.36363636363637,13.636363636363635,36.36363636363637,36.36363636363637,36.36363636363637,36.36363636363637,36.36363636363637,27.27272727272727,31.81818181818182,18.18181818181818,36.36363636363637,23.181818181818183,21.72727272727273,Watch Only
